,Cured/Discharged/Migrated,Date,Death,Latitude,Longitude,Name of State / UT,Total Confirmed cases,Unnamed: 0
0,0,2020-01-30,0,10.8505,76.2711,Kerala,1,0.0
1,0,2020-01-31,0,10.8505,76.2711,Kerala,1,1.0
2,0,2020-02-01,0,10.8505,76.2711,Kerala,2,2.0
3,0,2020-02-02,0,10.8505,76.2711,Kerala,3,3.0
4,0,2020-02-03,0,10.8505,76.2711,Kerala,3,4.0
5,0,2020-02-04,0,10.8505,76.2711,Kerala,3,5.0
6,0,2020-02-05,0,10.8505,76.2711,Kerala,3,6.0
7,0,2020-02-06,0,10.8505,76.2711,Kerala,3,7.0
8,0,2020-02-07,0,10.8505,76.2711,Kerala,3,8.0
9,0,2020-02-08,0,10.8505,76.2711,Kerala,3,9.0
10,0,2020-02-09,0,10.8505,76.2711,Kerala,3,10.0
11,0,2020-02-10,0,10.8505,76.2711,Kerala,3,11.0
12,0,2020-02-11,0,10.8505,76.2711,Kerala,3,12.0
13,0,2020-02-12,0,10.8505,76.2711,Kerala,3,13.0
14,0,2020-02-13,0,10.8505,76.2711,Kerala,3,14.0
15,0,2020-02-14,0,10.8505,76.2711,Kerala,3,15.0
16,0,2020-02-15,0,10.8505,76.2711,Kerala,3,16.0
17,0,2020-02-16,0,10.8505,76.2711,Kerala,3,17.0
18,0,2020-02-17,0,10.8505,76.2711,Kerala,3,18.0
19,0,2020-02-18,0,10.8505,76.2711,Kerala,3,19.0
20,0,2020-02-19,0,10.8505,76.2711,Kerala,3,20.0
21,0,2020-02-20,0,10.8505,76.2711,Kerala,3,21.0
22,0,2020-02-21,0,10.8505,76.2711,Kerala,3,22.0
23,0,2020-02-22,0,10.8505,76.2711,Kerala,3,23.0
24,0,2020-02-23,0,10.8505,76.2711,Kerala,3,24.0
25,0,2020-02-24,0,10.8505,76.2711,Kerala,3,25.0
26,0,2020-02-25,0,10.8505,76.2711,Kerala,3,26.0
27,0,2020-02-26,0,10.8505,76.2711,Kerala,3,27.0
28,0,2020-02-27,0,10.8505,76.2711,Kerala,3,28.0
29,0,2020-02-28,0,10.8505,76.2711,Kerala,3,29.0
30,0,2020-02-29,0,10.8505,76.2711,Kerala,3,30.0
31,0,2020-03-01,0,10.8505,76.2711,Kerala,3,31.0
32,0,2020-03-02,0,28.7041,77.1025,Delhi,1,32.0
33,0,2020-03-02,0,10.8505,76.2711,Kerala,3,33.0
34,0,2020-03-02,0,18.1124,79.0193,Telengana,1,34.0
35,0,2020-03-03,0,28.7041,77.1025,Delhi,1,35.0
36,3,2020-03-03,0,10.8505,76.2711,Kerala,3,36.0
37,0,2020-03-03,0,18.1124,79.0193,Telengana,1,37.0
38,0,2020-03-04,0,28.7041,77.1025,Delhi,1,38.0
39,0,2020-03-04,0,29.0588,76.0856,Haryana,14,39.0
40,3,2020-03-04,0,10.8505,76.2711,Kerala,3,40.0
41,0,2020-03-04,0,27.0238,74.2179,Rajasthan,1,41.0
42,0,2020-03-04,0,18.1124,79.0193,Telengana,1,42.0
43,0,2020-03-04,0,26.8467,80.9462,Uttar Pradesh,6,43.0
44,0,2020-03-05,0,28.7041,77.1025,Delhi,2,44.0
45,0,2020-03-05,0,29.0588,76.0856,Haryana,14,45.0
46,3,2020-03-05,0,10.8505,76.2711,Kerala,3,46.0
47,0,2020-03-05,0,27.0238,74.2179,Rajasthan,1,47.0
48,0,2020-03-05,0,18.1124,79.0193,Telengana,1,48.0
49,0,2020-03-05,0,26.8467,80.9462,Uttar Pradesh,7,49.0
50,0,2020-03-06,0,28.7041,77.1025,Delhi,3,50.0
51,0,2020-03-06,0,29.0588,76.0856,Haryana,14,51.0
