,Date,Name of State / UT,Cured/Discharged/Migrated,Latitude,Longitude,Death,Total Confirmed cases
1015,2020-04-17,Andaman and Nicobar Islands,10,11.7401,92.6586,0,11
1016,2020-04-17,Andhra Pradesh,36,15.9129,79.74,14,572
1017,2020-04-17,Arunachal Pradesh,0,28.218000000000004,94.7278,0,1
1018,2020-04-17,Assam,5,26.2006,92.9376,1,35
1019,2020-04-17,Bihar,37,25.0961,85.3131,1,83
1020,2020-04-17,Chandigarh,9,30.7333,76.7794,0,21
1021,2020-04-17,Chhattisgarh,23,21.2787,81.8661,0,36
1022,2020-04-17,Delhi,51,28.7041,77.1025,38,1640
1023,2020-04-17,Goa,6,15.2993,74.124,0,7
1024,2020-04-17,Gujarat,74,22.2587,71.1924,38,1021
1025,2020-04-17,Haryana,43,29.0588,76.0856,3,205
1026,2020-04-17,Himachal Pradesh,16,31.1048,77.1734,1,35
1027,2020-04-17,Jammu and Kashmir,38,33.7782,76.5762,4,314
1028,2020-04-17,Jharkhand,0,23.6102,85.2799,2,29
1029,2020-04-17,Karnataka,82,15.3173,75.7139,13,353
1030,2020-04-17,Kerala,245,10.8505,76.2711,3,395
1031,2020-04-17,Ladakh,14,34.2996,78.2932,0,18
1032,2020-04-17,Madhya Pradesh,65,22.9734,78.6569,57,1308
1033,2020-04-17,Maharashtra,300,19.7515,75.7139,194,3205
1034,2020-04-17,Manipur,1,24.6637,93.9063,0,2
1035,2020-04-17,Meghalaya,0,25.467,91.3662,1,9
1036,2020-04-17,Mizoram,0,23.1645,92.9376,0,1
1037,2020-04-17,Odisha,19,20.9517,85.0985,1,60
1038,2020-04-17,Puducherry,1,11.9416,79.8083,0,7
1039,2020-04-17,Punjab,27,31.1471,75.3412,13,186
1040,2020-04-17,Rajasthan,164,27.0238,74.2179,11,1131
1041,2020-04-17,Tamil Nadu,180,11.1271,78.6569,15,1267
1042,2020-04-17,Telengana,186,18.1124,79.0193,18,743
1043,2020-04-17,Tripura,1,23.9408,91.9882,0,2
1044,2020-04-17,Uttar Pradesh,74,26.8467,80.9462,14,846
1045,2020-04-17,Uttarakhand,9,30.0668,79.0193,0,37
1046,2020-04-17,West Bengal,51,22.9868,87.855,10,255
